Driver ID,Rating,On-Time %,Trips Completed,Familiarity Score,Speeding Incidents,Fuel Efficiency,Complaints,Health Score
D001,4.1,80.62858371373468,457,62.81664523398176,3,7.68,0,77.44679328271455
D002,4.9,92.72820822527561,165,68.3567487046144,5,9.65,3,87.32895862274641
D003,4.6,86.28711962152653,124,86.84574067296202,1,8.63,2,74.96539952283922
D004,4.4,90.17141382329406,162,74.34587125184656,1,7.36,3,71.01637480739785
D005,3.7,98.15132947852186,469,70.16654596278956,3,8.24,4,79.34419513398272
D006,3.7,84.9858445829775,471,71.81162353675755,2,7.66,0,93.41487122638263
D007,3.6,88.2076584607126,153,72.90203056954402,2,9.77,0,78.32761517888254
D008,4.8,95.11102277086097,389,93.94679179698699,1,6.53,4,76.60291642243291
D009,4.4,84.57596330983245,303,65.46485325768116,3,7.29,4,76.38042353023678
D010,4.6,81.53959819657587,276,88.35643987640475,3,7.78,2,85.45521047220439
D011,3.5,85.79502905827536,161,82.1127990763163,2,8.21,0,99.26623947048269
D012,5.0,83.22442574508008,148,71.86040574591195,1,9.48,3,83.76966964051039
D013,4.7,98.59395304685145,202,76.79123425785106,2,6.81,1,86.71916106670143
D014,3.8,96.16240759128834,398,70.24827774377832,2,9.32,1,95.81896053672202
D015,3.8,92.66807513020846,451,84.46054843462721,1,6.69,4,86.05209156800976
D016,3.8,97.42921180375436,433,63.26376721600961,0,9.45,2,75.53388614256568
D017,4.0,96.07344153798229,415,60.207394510959475,0,6.68,1,78.9878773529943
D018,4.3,83.73140117772071,387,85.11577659794544,5,6.56,0,79.29810778805833
D019,4.1,97.85117996979956,243,67.7709581404817,1,8.94,4,81.91954346372793
D020,3.9,90.78684483831302,359,62.837636679997104,0,9.99,3,82.80366716010248
D021,4.4,96.14880310328125,212,75.87135308855554,2,9.64,4,93.99346066222807
D022,3.7,97.92182599846987,257,62.030741241575875,2,8.52,3,80.48160997148
D023,3.9,86.36006949943727,494,95.4646859580264,3,9.71,4,84.04695485324137
D024,4.0,82.20103849055353,218,61.10467087494819,7,6.52,4,88.74927961153156
D025,4.2,84.55870325083883,210,83.15459582030235,1,9.91,4,81.33177842320508
D026,4.7,88.54215577252512,117,77.53896492072349,2,8.22,3,95.09694439876999
D027,3.8,96.36029531844986,338,86.88104541180797,1,9.03,3,87.62360812702224
D028,4.3,97.21461166512687,447,73.12610669898928,3,9.37,4,78.82134037662915
D029,4.4,80.13904261062382,326,66.20166466910976,3,9.01,1,91.42177599369485
D030,3.6,90.21494605155132,353,99.27363553242125,2,8.37,2,85.82943190434358
D031,4.4,88.34822006297559,453,93.55734008277453,1,8.17,2,86.0336767377174
D032,3.8,84.4421562094146,433,94.416184732467,1,9.44,2,84.43263845162758
D033,3.6,82.39730734667366,441,70.01005442063456,3,7.22,3,84.91035846463747
D034,4.9,86.75230342807257,184,61.55338937717693,3,9.89,3,92.96068843198722
D035,4.9,98.85819407825039,244,72.13062058692891,2,8.99,1,73.08944437993947
D036,4.7,86.4640586404151,450,81.48329708786622,4,7.2,2,80.03088433931447
D037,4.0,90.37581243486733,177,73.06604967184164,1,9.08,2,72.26510091411667
D038,3.6,94.06037917790356,82,93.11476015150355,4,8.35,4,92.59738662242353
D039,4.5,87.27259204758587,225,70.86171663278968,1,8.98,3,78.16905564160898
D040,4.2,99.43564165441921,492,98.61007321563079,3,9.19,2,96.92291229456653
D041,3.7,99.24894589884222,420,78.29060646454914,3,6.81,1,85.7973539997788
D042,4.2,85.03564591650728,424,93.68092300047925,1,8.27,1,94.02249314458363
D043,3.6,89.9449701178477,71,67.77520135979492,1,9.76,2,99.36794306847884
D044,4.9,86.0175661963354,287,76.45415620226714,2,7.62,3,95.19366578369711
D045,3.9,85.69680988754935,207,87.98048843068776,1,8.58,1,96.00981280034571
D046,4.5,80.73773894709066,87,65.53412369671206,1,7.79,4,82.23953486094534
D047,4.0,92.19128667959794,279,65.30981688971879,0,8.09,1,86.55167785778019
D048,4.3,90.05358046457724,414,98.78147468456636,1,8.42,0,77.61665692129912
D049,4.3,81.02957502499979,100,88.58380416719808,2,8.42,0,75.88339299080359
D050,3.8,85.57292928473223,487,61.64270067071503,0,7.21,3,85.16523637318102
D051,5.0,98.16531771933307,313,75.95283605779179,4,8.9,2,87.85146939101261
D052,4.7,84.79123781333945,332,77.34082950322968,2,6.81,3,80.17813737688573
D053,4.9,82.89789744182445,76,89.76170571996462,4,6.99,3,87.083305532905
D054,4.8,89.78905520555126,275,70.03442109386646,4,6.51,3,96.62381447540508
D055,4.4,99.71300908221201,326,67.3733469732548,0,6.91,3,86.70164754350098
D056,4.9,84.84110543023002,335,63.23491866468791,0,8.16,4,91.6243928893152
D057,3.6,93.44271094811756,146,77.13257899760431,0,8.62,4,94.15944902073716
D058,3.8,95.23239230657435,333,87.53999603061466,0,9.28,1,99.66186345866328
D059,3.6,84.752750879848,416,62.327743820337744,5,6.87,0,88.0959220653094
D060,4.0,94.5643269722372,497,96.60854910505921,2,9.48,3,94.20550446887758
D061,4.1,87.35566265438507,366,77.69408918924418,1,9.11,1,98.87947955664625
D062,3.9,92.64611661187159,353,69.59149436629613,1,7.93,0,98.3322917673182
D063,4.7,92.67059421521789,196,63.75493160325167,2,9.77,2,74.2324554633314
D064,4.0,90.71549368149518,53,67.31463988429229,1,9.97,4,82.19176924820566
D065,3.9,81.80579540108816,84,97.38455989358839,3,7.22,0,79.71970183320398
D066,4.3,96.70604991178476,241,85.53082375373401,2,7.83,2,72.60775044851047
D067,3.7,86.41560129943471,98,80.66785029706267,3,9.74,0,88.99722324732882
D068,4.7,83.73037020799708,66,86.28445314000668,6,9.03,4,92.07713839588007
D069,3.6,80.81550283109527,221,77.42691594711565,2,6.67,4,95.44384286400651
D070,5.0,91.81785886376484,269,89.20157266247274,4,9.24,1,73.68330668988125
D071,4.7,93.55128723684565,207,61.908645107665954,3,9.4,3,96.2933222762588
D072,3.8,80.33175657855712,95,82.64148841976305,2,9.13,0,89.2877669084276
D073,3.5,90.24186116598563,422,66.34585790569965,0,9.3,0,91.11838405415529
D074,4.7,84.52991550395876,55,64.80658591222569,2,9.39,2,97.31872010620911
D075,4.6,92.903455808189,148,73.67518666865607,2,7.15,4,88.74283813129753
D076,4.6,83.48732858009983,429,63.67196263253768,2,7.32,0,80.07597571449506
D077,4.7,93.81875476204932,282,63.7662795307424,1,8.72,4,94.75321994267979
D078,3.6,87.73470692601074,86,72.45653237565176,3,9.68,0,80.89177636585272
D079,4.0,98.73459977473469,329,99.18042114486033,2,7.61,1,71.02684332461587
D080,3.7,82.75041888291986,398,67.01321079557354,2,8.56,3,94.9196351969575
D081,4.8,86.82132702100517,351,60.68644407327001,0,8.89,0,80.35576434643826
D082,4.4,82.26947042481179,230,90.53457692015644,2,8.08,4,93.2150356960402
D083,4.0,98.49387236557126,144,92.27651908203117,1,9.0,1,80.88273683997836
D084,3.6,97.54678706761962,148,73.85217284357603,1,9.65,0,95.83204059924165
D085,4.0,85.15883255430312,237,78.58695251758445,0,8.68,2,76.58531575242876
D086,4.0,93.19968092068358,165,85.99094730571053,3,8.39,3,99.23641795596609
D087,4.6,96.34444400402433,240,61.92235696788135,1,8.04,0,93.39276324364093
D088,4.5,91.10401623198925,302,97.96582926365544,1,8.52,1,73.4271377776119
D089,4.8,90.59301156712013,465,95.4672154919219,4,7.74,2,86.97329859899682
D090,4.2,84.83704581800903,210,70.43574493366856,3,7.87,1,99.56101936725204
D091,3.7,81.86205535611798,305,60.61218161161539,1,8.36,1,84.13196358081443
D092,4.6,97.94431515906653,372,97.33745232317932,3,6.73,2,75.4632141646475
D093,4.6,98.00836114326661,177,80.04159535661037,2,7.3,1,84.54335101451039
D094,4.3,92.66202914546535,67,81.57509793600249,0,8.4,2,85.37372967645764
D095,4.7,86.78059582097401,330,87.35855077592564,1,8.01,0,92.25060832685998
D096,4.2,86.98419149225322,272,84.63404657559656,2,7.66,2,90.96537559482714
